indicator_id,case_id,prompt,참조안_A,참조안_A_근거,참조안_A_신뢰도,참조안_A_표시,참조안_B,참조안_B_근거,참조안_B_신뢰도,참조안_B_표시,보조안_C,보조안_C_근거,보조안_C_신뢰도,보조안_C_표시,권고_선택,권고_정답,권고_근거,결정,수정_정답,메모,시작_시각,종료_시각
KPI-1,kpi1-repl-001,영역 대사 및 순환 6. 당독소(AGEs) 관리 / 판정 「1. 생성 억제 (당화 차단)」 / 나이 31 / 복용약 Esomeprazole,calcium_citrate|magnesium_glycinate|vitamin_b_complex|zinc,"대사 및 순환 6. 당독소(AGEs) 관리 · 원문 판정 「1. 생성 억제 (당화 차단)」 (26_대사_및_순환_6._당독소_AGEs_관리.md p142) · calcium_citrate: 장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (p237) · magnesium_glycinate: 장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (p237) · vitamin_b_complex: 장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (p237) · zinc: 장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (p237)",,,berberine|vitamin_b_complex|vitamin_c,"당화를 차단하려면 혈당 노출부터 줄인다. 베르베린이 식후 혈당을, B군의 티아민 계열이 당화 경로를, 비타민C가 산화적 당화를 각각 억제한다. Esomeprazole은 B12·마그네슘·아연 흡수를 떨어뜨려 B군 보충의 필요를 키운다.",0.55,antiglycation_evidence_indirect|ppi_depletes_b12_mg_zn,berberine,허용 성분 중 베르베린이 식후 혈당과 인슐린 저항성을 낮추는 방향으로 당화 기질을 줄이는 데 가장 직접적이다. 위장관 이상과 병용약 상호작용 가능성은 별도 확인이 필요하다.,0.83,interaction_check|ppi_use,C,berberine,기록된 신뢰도 비교(0.83),EDIT,vitamin_b_complex,,2026-08-04T13:30:10+09:00,2026-08-04T13:30:18+09:00
KPI-1,kpi1-repl-002,영역 대사 및 순환 6. 당독소(AGEs) 관리 / 판정 「3. 장내 배출 (내독소 제거)」 / 나이 37 / 복용약 Furosemide,calcium_citrate|magnesium_glycinate|probiotics|soluble_fiber|vitamin_b_complex|zinc,"대사 및 순환 6. 당독소(AGEs) 관리 · 원문 판정 「3. 장내 배출 (내독소 제거)」 (26_대사_및_순환_6._당독소_AGEs_관리.md p143) · calcium_citrate: 심부전·부정맥 환자에서 Mg,K,B1 정기 모니터링. (p236) · magnesium_glycinate: 심부전·부정맥 환자에서 Mg,K,B1 정기 모니터링. (p236) · vitamin_b_complex: 심부전·부정맥 환자에서 Mg,K,B1 정기 모니터링. (p236) · zinc: 심부전·부정맥 환자에서 Mg,K,B1 정기 모니터링. (p236)",,,probiotics|soluble_fiber,"수용성 식이섬유가 장내 독소를 흡착해 배출하고, 프로바이오틱스가 장벽을 복구해 내독소 유입을 줄인다. 식이섬유는 Furosemide 흡수를 방해할 수 있어 복용 간격을 벌린다.",0.75,fiber_drug_absorption_timing|loop_diuretic_depletes_k_mg_ca_b1,probiotics|soluble_fiber,"프로바이오틱스는 장내 미생물 균형을, 수용성 식이섬유는 배변과 장내 대사산물 배출을 지원해 장내 내독소 부담을 낮추는 목표에 부합한다. 푸로세미드 복용 중에는 수분·전해질 상태를 함께 살펴야 한다.",0.89,diuretic_use|fluid_electrolyte_caution,B,probiotics|soluble_fiber,Anthropic 의견과 OpenAI 보조안 일치,ACCEPT,,,2026-08-04T13:30:20+09:00,2026-08-04T13:30:28+09:00
KPI-1,kpi1-repl-003,"영역 신경계 및 뇌기능 6. 일시적 인지저하와 치매 선별 / 판정 「1. 기억력 강화 및 뇌세포 보호 (문항 1,2,3번)」 / 나이 44 / 복용약 Levothyroxine",calcium_citrate|magnesium_glycinate|omega3,"신경계 및 뇌기능 6. 일시적 인지저하와 치매 선별 · 원문 판정 「1. 기억력 강화 및 뇌세포 보호 (문항 1,2,3번)」 (10_신경계_및_뇌기능_6._일시적_인지저하와_치매_선별.md p47) · calcium_citrate: 갑상선약과 미네랄, 멀티비타민은 4시간 간격 복용 안내. (p239) · magnesium_glycinate: 갑상선약과 미네랄, 멀티비타민은 4시간 간격 복용 안내. (p239)",,,omega3|vitamin_b_complex,"DHA가 신경세포막을 유지하고, B12·엽산·B6가 호모시스테인을 낮춰 뇌세포를 보호한다. Levothyroxine은 미네랄 제제와 4시간 이상 벌려 먹는다.",0.72,levothyroxine_needs_4h_gap_from_minerals,omega3|vitamin_b_complex,오메가3는 신경세포막과 혈관성 뇌 건강을 지원하고 비타민 B군은 신경전달과 에너지 대사에 관여한다. 인지 증상이 갑상선 조절 상태와 관련될 수 있으므로 갑상선 기능 확인이 우선이다.,0.79,cognitive_evaluation|thyroid_status_check,B,omega3|vitamin_b_complex,Anthropic 의견과 OpenAI 보조안 일치,ACCEPT,,,2026-08-04T13:30:30+09:00,2026-08-04T13:30:38+09:00
KPI-1,kpi1-repl-004,"영역 신경계 및 뇌기능 6. 일시적 인지저하와 치매 선별 / 판정 「3. 지남력 강화 및 신경 보호 (문항 6,7번)」 / 나이 50 / 복용약 Metformin",coq10|vitamin_b_complex,"신경계 및 뇌기능 6. 일시적 인지저하와 치매 선별 · 원문 판정 「3. 지남력 강화 및 신경 보호 (문항 6,7번)」 (10_신경계_및_뇌기능_6._일시적_인지저하와_치매_선별.md p47) · coq10: 당뇨 장기 환자에서 B12 모니터링 및 말초신경병증, 빈혈 스크리닝 중요. (p236) · vitamin_b_complex: 당뇨 장기 환자에서 B12 모니터링 및 말초신경병증, 빈혈 스크리닝 중요. (p236)",,,omega3|vitamin_b_complex,Metformin은 회장에서 B12 흡수를 막아 신경 손상과 지남력 저하를 부른다. B군으로 B12를 먼저 채우고 오메가3로 신경 보호를 보탠다.,0.78,metformin_b12_malabsorption,omega3|vitamin_b_complex,"메트포르민 장기 복용에서는 비타민 B12 상태 확인이 중요하므로 비타민 B군이 우선 후보이며, 오메가3는 신경 보호를 보조할 수 있다. 지남력 저하는 보충제만으로 접근하지 말고 임상 평가가 필요하다.",0.84,b12_status_check|cognitive_red_flag,B,omega3|vitamin_b_complex,Anthropic 의견과 OpenAI 보조안 일치,ACCEPT,,,2026-08-04T13:30:40+09:00,2026-08-04T13:30:48+09:00
KPI-1,kpi1-repl-005,영역 신경계 및 뇌기능 6. 일시적 인지저하와 치매 선별 / 판정 「5. 인지저하 전반적 용도」 / 나이 56 / 복용약 Prednisolone,calcium_citrate|magnesium_glycinate|probiotics|vitamin_c|vitamin_d3|zinc,"신경계 및 뇌기능 6. 일시적 인지저하와 치매 선별 · 원문 판정 「5. 인지저하 전반적 용도」 (10_신경계_및_뇌기능_6._일시적_인지저하와_치매_선별.md p48) · calcium_citrate: 3개월 이상 전신 스테로이드 시 골밀도, Vit D, Ca, Mg, Zn 모니터링. (p238) · magnesium_glycinate: 3개월 이상 전신 스테로이드 시 골밀도, Vit D, Ca, Mg, Zn 모니터링. (p238) · vitamin_c: 3개월 이상 전신 스테로이드 시 골밀도, Vit D, Ca, Mg, Zn 모니터링. (p238) · vitamin_d3: 3개월 이상 전신 스테로이드 시 골밀도, Vit D, Ca, Mg, Zn 모니터링. (p238) · zinc: 3개월 이상 전신 스테로이드 시 골밀도, Vit D, Ca, Mg, Zn 모니터링. (p238)",,,omega3|vitamin_b_complex|vitamin_d3,'전반적 용도'는 목표가 넓어 기본 축만 잡는다. 오메가3·B군·비타민D3를 쓴다. Prednisolone이 비타민D와 칼슘을 소모하므로 D3 보충의 근거가 더 커진다.,0.55,broad_goal_low_specificity|steroid_depletes_ca_vitd_k_mg_zn,omega3|vitamin_b_complex,인지저하 전반에는 오메가3와 비타민 B군이 보조 후보지만 근거는 원인에 따라 달라진다. 프레드니솔론의 수면·기분·대사 영향과 다른 가역적 원인을 먼저 평가해야 한다.,0.67,cognitive_evaluation|steroid_effects,C,omega3|vitamin_b_complex,기록된 신뢰도 비교(0.67),ACCEPT,,,2026-08-04T13:30:50+09:00,2026-08-04T13:30:58+09:00
KPI-1,kpi1-repl-006,영역 신경계 및 뇌기능 7. 인지기능 저하 요인 / 판정 「1. 혈관/대사 - 혈관 내피 기능 및 인슐린 감수성 개선」 / 나이 62 / 복용약 없음,coq10|magnesium_glycinate|omega3,신경계 및 뇌기능 7. 인지기능 저하 요인 · 원문 판정 「1. 혈관/대사 - 혈관 내피 기능 및 인슐린 감수성 개선」 (11_신경계_및_뇌기능_7._인지기능_저하_요인.md p51),,,berberine|magnesium_glycinate|omega3,"오메가3가 혈관 내피 기능을 개선하고, 베르베린이 인슐린 감수성을 높인다. 마그네슘은 인슐린 신호와 혈관 이완을 함께 돕는다.",0.65,no_current_medication,berberine|omega3,"베르베린은 인슐린 감수성 개선 방향에, 오메가3는 중성지방과 혈관 염증·내피 기능 지원 방향에 부합한다. 실제 대사 상태와 복용약을 확인해 선택해야 한다.",0.88,metabolic_status_check,C,berberine|omega3,기록된 신뢰도 비교(0.88),ACCEPT,,,2026-08-04T13:31:00+09:00,2026-08-04T13:31:08+09:00
KPI-1,kpi1-repl-007,영역 신경계 및 뇌기능 7. 인지기능 저하 요인 / 판정 「2. 수면 - 수면 리듬 조절 및 신경 이완」 / 나이 68 / 복용약 Amlodipine,magnesium_glycinate|vitamin_b_complex,"신경계 및 뇌기능 7. 인지기능 저하 요인 · 원문 판정 「2. 수면 - 수면 리듬 조절 및 신경 이완」 (11_신경계_및_뇌기능_7._인지기능_저하_요인.md p52) · magnesium_glycinate: 이뇨제, ACEI/ARB 병용 시 전해질 이상 누적 주의. (p237)",,,l_theanine|magnesium_glycinate,"글리신산마그네슘이 GABA 경로를 도와 수면 리듬을 잡고, L-테아닌이 교감신경 항진을 낮춘다. Amlodipine과 겹치면 혈압이 더 내려갈 수 있어 저혈압 증상을 확인한다.",0.8,additive_hypotension_with_ccb,l_theanine|magnesium_glycinate,"마그네슘 글리시네이트는 신경·근육 이완과 수면 질을, L-테아닌은 긴장 완화를 지원한다. 암로디핀과 함께 어지럼이나 혈압 저하가 심해지는지 관찰해야 한다.",0.92,bp_additive_effect|fall_risk,B,l_theanine|magnesium_glycinate,Anthropic 의견과 OpenAI 보조안 일치,ACCEPT,,,2026-08-04T13:31:10+09:00,2026-08-04T13:31:18+09:00
KPI-1,kpi1-repl-008,영역 신경계 및 뇌기능 7. 인지기능 저하 요인 / 판정 「3. 스트레스 - 스트레스 조절 및 신경 보호」 / 나이 74 / 복용약 Atorvastatin,coq10|l_theanine|magnesium_glycinate|vitamin_c|vitamin_d3,"신경계 및 뇌기능 7. 인지기능 저하 요인 · 원문 판정 「3. 스트레스 - 스트레스 조절 및 신경 보호」 (11_신경계_및_뇌기능_7._인지기능_저하_요인.md p52) · coq10: • 근육통, 피로, 심부전 환자에서 CoQ10 고려 • 근골격통, Vit D 혈중농도 저하 의심 시 25(OH)D 검사. (p236) · vitamin_d3: • 근육통, 피로, 심부전 환자에서 CoQ10 고려 • 근골격통, Vit D 혈중농도 저하 의심 시 25(OH)D 검사. (p236)",,,l_theanine|magnesium_glycinate,"L-테아닌이 코르티솔 반응을 눌러 스트레스를 조절하고, 마그네슘이 HPA축 과활성을 완화한다. 목표와 별개로 Atorvastatin의 CoQ10 고갈은 따로 확인할 항목이다.",0.7,statin_coq10_depletion_unaddressed_by_goal,l_theanine|magnesium_glycinate,L-테아닌과 마그네슘 글리시네이트는 스트레스 반응과 신경 이완을 지원하는 조합이다. 고령에서는 졸림·어지럼과 낙상 위험을 확인하며 보수적으로 사용해야 한다.,0.87,older_adult|sedation_monitor,B,l_theanine|magnesium_glycinate,Anthropic 의견과 OpenAI 보조안 일치,ACCEPT,,,2026-08-04T13:31:20+09:00,2026-08-04T13:31:28+09:00
KPI-1,kpi1-repl-009,영역 신경계 및 뇌기능 7. 인지기능 저하 요인 / 판정 「5. 영양결핍 - 신경전달물질 원료 및 에너지 공급」 / 나이 31 / 복용약 Esomeprazole,calcium_citrate|magnesium_glycinate|vitamin_b_complex|vitamin_d3|zinc,"신경계 및 뇌기능 7. 인지기능 저하 요인 · 원문 판정 「5. 영양결핍 - 신경전달물질 원료 및 에너지 공급」 (11_신경계_및_뇌기능_7._인지기능_저하_요인.md p52) · calcium_citrate: 장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (p237) · magnesium_glycinate: 장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (p237) · vitamin_b_complex: 장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (p237) · zinc: 장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (p237)",,,magnesium_glycinate|vitamin_b_complex|zinc,"신경전달물질 합성에는 B6·엽산·B12가 원료로, 마그네슘이 ATP 생성 보조인자로 들어간다. 아연은 신경전달과 효소 활성에 쓰인다. Esomeprazole이 이 세 가지를 모두 떨어뜨려 결핍 목표와 정확히 맞물린다.",0.7,ppi_depletes_b12_mg_zn,magnesium_glycinate|vitamin_b_complex,"비타민 B군은 신경전달물질 합성과 에너지 대사에, 마그네슘은 신경 기능에 관여한다. 에소메프라졸 장기 복용 여부에 따라 B12·마그네슘 상태를 검사로 확인하는 것이 합리적이다.",0.91,lab_confirmation|long_term_ppi_unknown,C,magnesium_glycinate|vitamin_b_complex,기록된 신뢰도 비교(0.91),ACCEPT,,,2026-08-04T13:31:30+09:00,2026-08-04T13:31:38+09:00
KPI-1,kpi1-repl-010,영역 신경계 및 뇌기능 7. 인지기능 저하 요인 / 판정 「6. 운동부족/혈류저하 - 뇌 신경 보호 및 기억력 개선」 / 나이 37 / 복용약 Furosemide,calcium_citrate|coq10|magnesium_glycinate|omega3|vitamin_b_complex|zinc,"신경계 및 뇌기능 7. 인지기능 저하 요인 · 원문 판정 「6. 운동부족/혈류저하 - 뇌 신경 보호 및 기억력 개선」 (11_신경계_및_뇌기능_7._인지기능_저하_요인.md p53) · calcium_citrate: 심부전·부정맥 환자에서 Mg,K,B1 정기 모니터링. (p236) · magnesium_glycinate: 심부전·부정맥 환자에서 Mg,K,B1 정기 모니터링. (p236) · vitamin_b_complex: 심부전·부정맥 환자에서 Mg,K,B1 정기 모니터링. (p236) · zinc: 심부전·부정맥 환자에서 Mg,K,B1 정기 모니터링. (p236)",,,coq10|omega3,"오메가3가 혈액 점도와 내피 기능을 개선해 뇌 혈류를 돕고, CoQ10이 미토콘드리아 에너지 생성을 받친다. 운동부족·혈류저하 목표에 직접 대응한다.",0.6,loop_diuretic_electrolyte_depletion,coq10|omega3,"오메가3는 혈관성 위험과 염증을, 코엔자임Q10은 세포 에너지 생성을 보조할 수 있다. 운동 부족 자체의 교정이 우선이며 푸로세미드 복용 중에는 탈수와 전해질 이상을 확인해야 한다.",0.78,diuretic_use|exercise_primary,B,coq10|omega3,Anthropic 의견과 OpenAI 보조안 일치,ACCEPT,,,2026-08-04T13:31:40+09:00,2026-08-04T13:31:48+09:00
